id;name;description;example_id
1;first;first description;1
2;second;second description;1
3;third;third description;1
4;foruth;foruth description;1
5;fifth;fifth description;1
6;first;first description;2
7;second;second description;2
8;third;third description;2
9;foruth;foruth description;2
10;fifth;fifth description;2
11;first;first description;3
12;second;second description;3
13;third;third description;3
14;foruth;foruth description;3
15;fifth;fifth description;3
16;first;first description;4
17;second;second description;4
18;third;third description;4
19;foruth;foruth description;4
20;fifth;fifth description;4
21;first;first description;5
22;second;second description;5
23;third;third description;5
24;foruth;foruth description;5
25;fifth;fifth description;5